MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes
,,,55,440,Cell 27 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,56,448,Cell 28 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,57,456,Cell 28 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,58,464,Cell 29 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,59,472,Cell 29 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,60,480,Cell 30 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,61,488,Cell 30 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,62,496,Cell 31 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,63,504,Cell 31 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
0x00E,ACU Cell Data 2,64,,,,,,,,,,,,14
,,,0,0,Cell 32 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,1,8,Cell 32 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,2,16,Cell 33 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,3,24,Cell 33 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,4,32,Cell 34 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,5,40,Cell 34 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,6,48,Cell 35 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,7,56,Cell 35 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,8,64,Cell 36 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,9,72,Cell 36 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,10,80,Cell 37 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,11,88,Cell 37 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,12,96,Cell 38 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,13,104,Cell 38 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,14,112,Cell 39 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,15,120,Cell 39 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,16,128,Cell 40 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,17,136,Cell 40 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,18,144,Cell 41 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,19,152,Cell 41 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,20,160,Cell 42 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,21,168,Cell 42 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,22,176,Cell 43 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,23,184,Cell 43 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,24,192,Cell 44 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,25,200,Cell 44 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,26,208,Cell 45 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,27,216,Cell 45 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,28,224,Cell 46 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,29,232,Cell 46 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,30,240,Cell 47 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,31,248,Cell 47 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
,,,32,256,Cell 48 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14
,,,33,264,Cell 48 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14
